hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,home_win
9,21,2,12,11,7,1,4,3,1,0,0,0
5,18,1,7,9,6,3,6,1,2,0,0,0
17,14,9,8,11,9,14,4,1,2,0,0,1
4,16,2,6,13,7,3,5,1,2,0,0,0
17,4,6,0,16,10,4,2,1,1,0,1,1
11,11,5,6,10,9,10,2,2,3,0,0,0
8,10,1,4,8,11,2,5,3,1,0,0,0
15,16,5,6,8,10,6,9,1,3,0,0,1
19,12,6,3,9,13,8,8,1,2,0,0,1
14,13,5,6,12,12,4,5,0,1,0,0,0
6,21,1,4,8,11,1,12,0,1,0,0,1
6,12,2,3,12,10,3,5,0,0,0,0,0
18,10,6,3,5,10,7,5,0,0,0,0,1
7,15,2,2,13,5,5,5,3,2,1,0,0
6,21,4,9,6,9,3,7,0,1,0,0,0
22,10,6,5,6,16,9,1,0,2,0,0,0
10,16,4,5,17,11,3,7,2,2,0,0,1
17,12,6,5,5,12,8,5,1,1,0,0,0
22,8,7,2,11,7,9,3,2,1,0,0,1
9,19,2,6,9,8,3,8,3,1,0,0,0
12,5,6,4,9,8,5,2,0,1,0,0,1
13,7,5,3,9,8,11,2,0,0,0,0,1
11,4,6,1,11,6,9,1,0,2,0,0,1
14,12,3,5,12,14,8,8,3,1,0,0,1
9,13,5,10,13,14,2,10,2,3,0,0,1
27,6,13,1,6,6,9,0,0,1,0,0,1
15,18,5,5,6,9,4,3,3,2,0,0,0
14,27,4,10,6,12,3,8,1,2,0,0,0
18,13,8,5,7,9,6,9,0,0,0,0,0
15,7,4,2,16,11,5,1,0,1,1,0,0
15,8,1,3,14,16,9,2,5,3,0,0,0
11,7,1,2,6,7,6,3,2,3,0,0,0
13,15,4,3,9,9,6,7,4,2,0,0,0
18,6,3,1,9,8,3,3,1,1,0,0,1
8,15,5,7,12,10,2,5,4,1,0,0,0
15,6,7,3,17,14,10,3,2,1,0,0,1
20,11,9,3,13,13,6,2,2,3,0,0,1
9,6,3,1,1,6,5,6,1,0,0,0,1
15,6,7,2,7,13,9,3,0,0,0,0,1
8,23,3,10,7,13,2,8,2,3,0,0,0
22,5,11,1,11,7,7,6,1,0,0,0,1
15,12,4,2,12,13,7,4,2,3,0,1,0
21,7,10,0,8,9,5,3,1,1,0,0,1
9,11,1,6,16,9,4,5,3,2,0,0,0
8,22,3,9,7,8,4,12,0,2,0,0,0
8,12,5,4,7,6,5,8,0,1,0,0,0
10,11,2,1,22,15,3,6,3,4,0,0,1
17,11,7,7,13,13,7,3,3,1,0,0,0
19,10,7,3,8,10,10,2,3,1,0,1,1
24,6,8,2,10,5,14,0,1,1,0,0,1
20,8,1,4,12,7,10,5,1,2,0,0,0
11,10,1,4,12,12,4,4,1,4,0,0,0
7,9,0,3,4,20,4,4,1,3,0,0,0
29,6,8,1,7,8,9,4,0,1,0,0,1
19,9,11,0,6,9,4,4,0,2,0,0,1
21,6,4,5,5,7,10,0,0,3,0,0,0
16,15,6,9,13,19,3,3,6,3,0,0,0
11,17,3,7,12,9,7,10,4,4,0,0,1
15,12,4,2,8,8,3,7,0,0,0,0,1
8,7,1,5,12,9,6,4,2,1,0,0,0
23,3,15,2,5,11,4,0,0,3,0,0,1
26,6,5,2,8,9,5,4,1,1,0,0,1
27,8,9,1,12,9,13,6,1,2,0,0,1
19,15,3,11,16,11,3,6,4,2,0,0,0
6,26,1,11,9,7,6,6,3,1,1,0,0
12,9,1,4,17,11,7,2,4,5,0,0,0
6,13,2,8,7,14,3,4,3,2,0,0,0
13,14,4,1,8,2,3,5,1,0,0,0,1
9,22,2,6,10,13,6,8,1,1,0,0,0
7,19,4,4,9,12,5,10,1,2,0,0,1
14,11,9,1,10,8,4,7,1,1,0,0,1
6,11,1,5,12,7,5,2,2,0,0,0,0
10,15,4,4,8,10,4,7,1,1,0,0,1
15,10,7,6,13,18,5,5,2,5,0,0,0
12,12,5,8,13,8,7,7,0,3,0,0,0
22,13,5,5,7,7,4,6,2,1,0,0,1
13,16,7,4,5,11,1,5,1,2,0,0,0
24,5,10,2,10,14,9,3,0,1,0,0,1
14,6,7,0,15,10,5,2,2,0,0,0,1
9,15,3,7,8,15,3,8,0,2,0,0,0
14,8,5,4,6,7,12,5,1,1,0,0,0
10,9,5,0,11,10,5,2,2,2,0,0,1
4,15,1,9,17,11,3,5,5,3,0,0,0
8,18,3,9,12,15,7,6,3,1,0,0,0
13,7,4,1,6,10,2,9,1,1,0,1,1
10,10,6,3,8,7,4,5,2,1,0,0,1
8,7,3,2,17,16,7,2,4,3,0,0,1
8,14,2,3,13,11,5,2,2,1,1,0,0
13,12,7,4,18,8,6,2,3,1,0,0,1
13,9,7,5,8,12,11,3,3,2,0,0,0
11,13,4,7,9,3,5,7,1,0,0,0,1
21,6,8,3,8,10,2,6,0,3,0,0,1
15,17,0,7,11,9,6,3,2,2,0,0,0
9,9,2,3,9,9,1,6,0,1,0,0,0
9,17,3,6,13,11,5,7,2,1,1,0,1
14,15,8,6,13,14,2,5,1,4,1,0,0
8,10,1,3,13,14,6,5,3,3,0,0,0
12,15,4,6,10,10,2,5,1,2,0,0,1
17,6,4,1,7,7,5,3,0,1,0,0,1
20,5,3,2,9,8,9,3,1,1,0,0,1
3,18,1,6,11,6,1,8,1,0,0,0,0
21,17,8,6,11,7,12,7,0,0,0,0,0
11,15,5,5,15,8,4,9,4,3,0,0,1
11,13,5,2,9,12,2,4,1,1,0,1,1
19,8,6,1,10,7,2,3,2,3,0,0,1
6,12,5,3,11,15,0,2,0,2,0,0,1
13,16,4,4,11,16,9,6,2,2,0,0,1
12,5,4,2,6,13,1,2,1,1,0,0,1
7,12,3,4,4,10,5,7,2,2,0,0,1
20,8,4,3,12,19,11,2,3,4,0,0,0
4,24,1,14,11,10,3,3,1,0,0,0,0
8,10,1,5,8,12,3,8,2,0,0,0,0
9,11,8,5,12,14,9,3,2,3,0,0,0
15,5,7,1,2,6,4,6,0,1,0,0,1
12,11,3,3,11,12,3,4,1,1,0,0,1
17,18,6,4,12,10,6,7,1,1,0,0,1
5,12,0,5,14,10,4,4,3,3,0,0,0
20,15,9,4,7,6,6,7,0,0,0,0,1
9,23,3,6,6,6,6,8,2,1,0,0,1
17,16,4,5,11,9,6,5,2,1,0,0,0
16,8,7,2,10,10,3,5,2,2,0,0,1
14,2,5,1,3,6,10,2,1,2,0,0,1
11,14,2,4,7,6,6,1,3,1,0,0,0
13,10,4,2,12,12,2,5,1,1,0,0,1
17,2,5,1,12,7,7,4,0,3,0,0,1
16,11,6,3,7,7,10,10,2,2,0,0,1
14,14,7,5,9,12,1,7,3,4,0,0,1
21,5,8,2,9,7,11,4,1,0,0,0,1
5,13,2,7,11,10,2,3,0,2,0,0,0
14,10,5,4,8,7,3,6,3,1,0,0,1
26,6,5,2,11,9,3,1,1,0,0,1,1
18,9,4,1,8,8,13,1,2,5,0,0,1
4,24,2,10,11,11,0,6,1,3,0,0,0
21,9,6,3,16,8,2,3,4,1,0,0,1
8,14,3,5,13,11,6,7,1,3,0,0,0
13,17,1,6,13,9,5,6,1,2,0,0,0
11,17,1,9,6,4,7,3,2,1,0,0,0
7,19,2,6,13,3,3,6,1,2,0,0,0
9,17,4,5,9,12,3,8,3,5,0,0,1
13,6,7,2,13,8,7,3,2,3,0,0,1
8,13,3,7,8,9,3,7,2,2,0,0,0
9,12,5,4,4,6,3,8,1,0,0,0,1
18,19,5,4,12,9,4,7,0,1,0,0,1
14,12,6,7,13,11,4,5,1,2,0,0,0
15,6,7,1,11,18,8,5,2,1,0,1,1
17,15,6,5,13,9,7,6,0,2,0,0,1
19,3,9,2,13,15,8,2,2,2,0,1,1
16,10,9,4,11,6,6,1,3,0,0,0,0
8,13,2,5,7,7,9,5,1,1,0,0,0
21,7,9,3,6,11,8,2,1,3,0,0,1
9,17,4,6,10,12,2,3,0,0,0,0,0
5,17,0,4,10,14,1,5,1,0,1,0,0
20,9,8,5,10,5,10,2,0,0,0,0,1
7,16,3,5,2,10,6,2,0,1,0,0,0
16,8,6,4,8,15,2,2,1,3,0,1,1
21,8,8,1,12,8,8,2,3,2,0,0,1
13,13,5,7,4,6,7,3,0,1,0,0,0
10,18,5,7,8,8,5,2,0,3,2,0,0
16,11,4,2,11,8,12,8,0,3,0,0,1
4,24,2,5,6,6,1,9,2,0,0,0,0
12,7,6,5,9,13,4,5,2,3,0,0,1
26,6,9,2,8,9,12,2,0,1,0,0,1
14,14,5,6,11,13,3,2,2,1,1,0,0
18,7,7,2,9,9,5,6,1,1,0,0,1
12,8,5,6,8,9,8,2,1,0,0,0,0
19,8,8,3,9,9,3,3,0,0,0,0,1
6,10,3,4,12,22,3,6,2,4,0,0,1
12,7,6,2,10,5,3,3,0,1,0,0,1
29,7,8,5,6,3,5,3,1,0,0,0,1
24,4,5,2,5,11,13,1,0,1,0,0,1
9,19,0,13,13,7,3,2,3,1,0,0,0
